"filename", "language", "JSON with Comments", "TypeScript JSX", "JSON", "TypeScript", "Ignore", "Markdown", "CSS", "XML", "HTML", "YAML", "comment", "blank", "total"
"d:\Projects\cookbook\client\src\components\RecipeList\style.css", "CSS", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 6, 56
"d:\Projects\cookbook\client\src\components\RecipeList\style.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 11, 73
"d:\Projects\cookbook\client\src\components\StyledButtons\StyledButtons.tsx", "TypeScript JSX", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 91
"d:\Projects\cookbook\client\src\components\StyledButtons\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Projects\cookbook\client\src\components\TextComponent\TextComponent.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"d:\Projects\cookbook\client\src\components\TextComponent\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserDetails\GetUserDetails.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70
"d:\Projects\cookbook\client\src\components\UserDetails\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserDetails\style.css", "CSS", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"d:\Projects\cookbook\client\src\components\UserDetails\style.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Projects\cookbook\client\src\components\UserFollowList\UserFollowList.tsx", "TypeScript JSX", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 144
"d:\Projects\cookbook\client\src\components\UserFollowList\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserFollowList\style.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"d:\Projects\cookbook\client\src\components\UserFollow\HandleUserFollow.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"d:\Projects\cookbook\client\src\components\UserFollow\HandleUserUnfollow.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 66
"d:\Projects\cookbook\client\src\components\UserFollow\UserFollow.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"d:\Projects\cookbook\client\src\components\UserFollow\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserRecipes\UserRecipes.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 68
"d:\Projects\cookbook\client\src\components\UserRecipes\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\UserRecipes\style.css", "CSS", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 2, 48
"d:\Projects\cookbook\client\src\components\UserRecipes\style.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"d:\Projects\cookbook\client\src\components\useGetRecipes\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\cookbook\client\src\components\useGetRecipes\useGetRecipes.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
